intPIPCategoryID,MCNo,AdditionCount,RecipeColorCategory,vcColourNo,RFT
1,N-002A,1,Light,TNB23-3141I,0
3,N-008A,1,Medium,TNB23-2681D,0
1,N-006A,2,Dark,TNB23-3288A,0
1,N-008A,0,Dark,TNB23-2243D,1
1,N-008A,2,Dark,TNB23-2243D,0
1,N-008A,1,Dark,TNB23-2243D,0
1,N-008A,1,Dark,TNB23-2243D,0
1,N-008A,0,Dark,TNB23-2243D,1
1,N-008D,0,Medium,TNB23-3198B,1
1,N-008D,4,Medium,TNB23-3198B,0
5,N-002B,0,Dark,TNB22-1317N,1
1,N-008G,1,Dark,TNB23-1787H,0
1,N-008G,1,Dark,TNB23-1787H,0
3,N-008K,0,Dark,TNB18-2841A,1
1,N-008F,0,Dark,TNB23-1787D,1
3,N-008K,0,Dark,TNB19-2805A,1
3,N-008G,1,Dark,TNB23-0612C,0
3,N-008G,0,Dark,TNB23-0612C,1
1,N-008E,3,Light,TNB23-2968B,0
5,N-008L,0,Dark,TNB21-0223D,1
5,N-008A,0,Dark,TNB21-0223D,1
5,N-008A,2,Dark,TNB21-0223D,0
1,N-006A,0,Light,TNB23-2751B,1
1,N-006A,6,Light,TNB23-2751B,0
2,N-008K,0,Dark,TNB18-2938L,1
3,N-008B,0,Dark,TNB22-0876D,1
3,N-002B,2,Light,TNB19-2197AE,0
1,N-002A,0,Dark,TNB23-2971A,1
1,N-002A,4,Dark,TNB23-2971A,0
1,N-002A,0,Dark,TNB23-2971A,1
2,N-006A,1,Dark,TNB19-0500TQ,0
1,N-008B,1,Dark,TNB23-1788E,0
1,N-008F,0,Dark,TNB23-1787D,1
5,N-008H,1,Light,N4844B,0
3,N-002B,1,Dark,TNB21-0500IB,0
2,N-008A,1,Dark,TNB19-3884L,0
3,N-002A,0,Dark,TNB23-0342O,1
2,N-008K,1,Dark,TNB19-0600BP,0
1,N-008E,2,Light,TNB23-2968G,0
1,N-008E,0,Light,TNB23-2968G,1
1,N-008D,3,Light,TNB23-2970F,0
3,N-008L,0,Medium,TNC23-2537E,1
3,N-008L,3,Medium,TNC23-2537E,0
1,N-008A,4,Dark,TNB23-2243F,0
1,N-002B,0,Dark,TNB19-0248T,1
1,N-002B,1,Dark,TNB19-0248T,0
1,N-008D,0,Light,TNB23-3141I,1
3,N-008K,5,Dark,TNB22-2400G,0
1,N-008H,7,Dark,TNB23-2969B,0
3,N-002B,2,Dark,TNB17-2150AI,0
3,N-002B,3,Dark,TNB17-2150AI,0
3,N-008E,3,Light,TNB23-3214A,0
1,N-008D,3,Light,TNB23-2787F,0
1,N-006A,6,Dark,TNB23-3063C,0
1,N-008G,1,Dark,TNB17-0714A,0
1,N-008L,3,Dark,TNB23-3212C,0
1,N-008B,0,Dark,TNB23-1788E,1
1,N-008B,1,Dark,TNB23-1788E,0
1,N-002B,0,Dark,TNC23-2972C,1
1,N-008B,0,Light,TNC22-1031C,1
1,N-008B,2,Light,TNC22-1031C,0
3,N-008E,2,Dark,TNB20-0152CC,0
3,N-008D,0,Light,TNB23-0112B,1
3,N-008D,1,Light,TNB23-0112B,0
3,N-002A,0,Medium,TNB22-2157C,1
1,N-008L,2,Medium,TNB23-1428N,0
1,N-008H,0,Dark,TNB23-3063H,1
1,N-006A,4,Dark,TPB23-1581C,0
